game_index,event,date,round,white,black,result,ply,color,player,move,rank,best_move,depth_best,depth_min,depth_max
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,31,black,"Niemann, Hans Moke",Rab8,2,b4,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,32,white,"Colas, Joshua",axb5,1,axb5,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,33,black,"Niemann, Hans Moke",axb5,1,axb5,19,19,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,34,white,"Colas, Joshua",h3,2,Ra5,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,35,black,"Niemann, Hans Moke",Qg5,1,Qg5,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,36,white,"Colas, Joshua",f4,>10,Rfd1,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,37,black,"Niemann, Hans Moke",Qf5,1,Qf5,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,38,white,"Colas, Joshua",Qxb5,1,Qxb5,18,18,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,39,black,"Niemann, Hans Moke",Bxd5,1,Bxd5,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,40,white,"Colas, Joshua",Qa5,1,Qa5,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,41,black,"Niemann, Hans Moke",Bc4,>10,Rd6,16,15,16
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,42,white,"Colas, Joshua",Qxf5,1,Qxf5,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,43,black,"Niemann, Hans Moke",gxf5,1,gxf5,16,15,16
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,44,white,"Colas, Joshua",Rfb1,1,Rfb1,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,45,black,"Niemann, Hans Moke",Bxe2,7,e6,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,46,white,"Colas, Joshua",Nxe2,1,Nxe2,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,47,black,"Niemann, Hans Moke",Bxd4+,1,Bxd4+,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,48,white,"Colas, Joshua",Nxd4,1,Nxd4,21,21,21
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,49,black,"Niemann, Hans Moke",Rxd4,1,Rxd4,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,50,white,"Colas, Joshua",Ra7,3,b4,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,51,black,"Niemann, Hans Moke",e6,2,Kf8,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,52,white,"Colas, Joshua",Rc1,5,b4,19,19,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,53,black,"Niemann, Hans Moke",Rxf4,1,Rxf4,21,20,21
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,54,white,"Colas, Joshua",Rcc7,1,Rcc7,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,55,black,"Niemann, Hans Moke",Rf8,1,Rf8,22,21,22
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,56,white,"Colas, Joshua",Rab7,2,b3,18,17,18
