game_index,event,date,round,white,black,result,ply,color,player,move,rank,best_move,chosen_expectation,best_expectation,legacy_code_match,depth_best,depth_played,depth_min,depth_max
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,15,black,"Niemann, Hans Moke",a6,1,a6,0.513,0.513,True,17,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,16,white,"Colas, Joshua",Bxd7+,3,Bd3,0.4705,0.497,False,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,17,black,"Niemann, Hans Moke",Qxd7,1,Qxd7,0.5665,0.5665,True,20,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,18,white,"Colas, Joshua",Qb3,2,O-O,0.475,0.475,True,19,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,19,black,"Niemann, Hans Moke",O-O,1,O-O,0.5355,0.5355,True,19,19,19,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,20,white,"Colas, Joshua",O-O,1,O-O,0.4785,0.4785,True,19,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,21,black,"Niemann, Hans Moke",Rd8,1,Rd8,0.533,0.533,True,19,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,22,white,"Colas, Joshua",Bg5,1,Bg5,0.4795,0.4795,True,19,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,23,black,"Niemann, Hans Moke",Qg4,>10,b5,0.0,0.5295,False,18,,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,24,white,"Colas, Joshua",Bf4,1,Bf4,0.549,0.549,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,25,black,"Niemann, Hans Moke",b5,1,b5,0.4805,0.4805,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,26,white,"Colas, Joshua",Be5,9,Bc7,0.4765,0.5275,False,18,17,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,27,black,"Niemann, Hans Moke",Bb7,1,Bb7,0.537,0.537,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,28,white,"Colas, Joshua",Bxf6,5,h3,0.431,0.49,False,19,18,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,29,black,"Niemann, Hans Moke",Bxf6,1,Bxf6,0.5975,0.5975,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,30,white,"Colas, Joshua",a4,1,a4,0.4645,0.4645,True,17,17,16,17
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,31,black,"Niemann, Hans Moke",Rab8,2,b4,0.5205,0.547,False,19,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,32,white,"Colas, Joshua",axb5,1,axb5,0.4685,0.4685,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,33,black,"Niemann, Hans Moke",axb5,1,axb5,0.5225,0.5225,True,20,20,19,20
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,34,white,"Colas, Joshua",h3,2,Ra5,0.4545,0.488,False,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,35,black,"Niemann, Hans Moke",Qg5,1,Qg5,0.6185,0.6185,True,19,19,18,19
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,36,white,"Colas, Joshua",f4,>10,Ra5,0.0,0.458,False,18,,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,37,black,"Niemann, Hans Moke",Qf5,1,Qf5,0.9745,0.9745,True,18,18,17,18
129,National Open 2021,2021.06.17,2.6,"Colas, Joshua","Niemann, Hans Moke",0-1,38,white,"Colas, Joshua",Qxb5,1,Qxb5,0.0605,0.0605,True,18,18,17,18
